region,instance_type
ap-south-1,a1.2xlarge
ap-south-1,a1.4xlarge
ap-south-1,a1.large
ap-south-1,a1.medium
ap-south-1,a1.metal
ap-south-1,a1.xlarge
ap-south-1,c4.2xlarge
ap-south-1,c4.4xlarge
ap-south-1,c4.8xlarge
ap-south-1,c4.large
ap-south-1,c4.xlarge
ap-south-1,c5.12xlarge
ap-south-1,c5.18xlarge
ap-south-1,c5.24xlarge
ap-south-1,c5.2xlarge
ap-south-1,c5.4xlarge
ap-south-1,c5.9xlarge
ap-south-1,c5.large
ap-south-1,c5.metal
ap-south-1,c5.xlarge
ap-south-1,c5a.12xlarge
ap-south-1,c5a.16xlarge
ap-south-1,c5a.24xlarge
ap-south-1,c5a.2xlarge
ap-south-1,c5a.4xlarge
ap-south-1,c5a.8xlarge
ap-south-1,c5a.large
ap-south-1,c5a.xlarge
ap-south-1,c5d.12xlarge
ap-south-1,c5d.18xlarge
ap-south-1,c5d.24xlarge
ap-south-1,c5d.2xlarge
ap-south-1,c5d.4xlarge
ap-south-1,c5d.9xlarge
ap-south-1,c5d.large
ap-south-1,c5d.metal
ap-south-1,c5d.xlarge
ap-south-1,c5n.18xlarge
ap-south-1,c5n.2xlarge
ap-south-1,c5n.4xlarge
ap-south-1,c5n.9xlarge
ap-south-1,c5n.large
ap-south-1,c5n.metal
ap-south-1,c5n.xlarge
ap-south-1,c6a.12xlarge
ap-south-1,c6a.16xlarge
ap-south-1,c6a.24xlarge
ap-south-1,c6a.2xlarge
ap-south-1,c6a.32xlarge
ap-south-1,c6a.48xlarge
ap-south-1,c6a.4xlarge
ap-south-1,c6a.8xlarge
ap-south-1,c6a.large
ap-south-1,c6a.metal
ap-south-1,c6a.xlarge
ap-south-1,c6g.12xlarge
ap-south-1,c6g.16xlarge
ap-south-1,c6g.2xlarge
ap-south-1,c6g.4xlarge
ap-south-1,c6g.8xlarge
ap-south-1,c6g.large
ap-south-1,c6g.medium
ap-south-1,c6g.metal
ap-south-1,c6g.xlarge
ap-south-1,c6gd.12xlarge
ap-south-1,c6gd.16xlarge
ap-south-1,c6gd.2xlarge
ap-south-1,c6gd.4xlarge
ap-south-1,c6gd.8xlarge
ap-south-1,c6gd.large
ap-south-1,c6gd.medium
ap-south-1,c6gd.metal
ap-south-1,c6gd.xlarge
ap-south-1,c6gn.12xlarge
ap-south-1,c6gn.16xlarge
ap-south-1,c6gn.2xlarge
ap-south-1,c6gn.4xlarge
ap-south-1,c6gn.8xlarge
ap-south-1,c6gn.large
ap-south-1,c6gn.medium
ap-south-1,c6gn.xlarge
ap-south-1,c6i.12xlarge
ap-south-1,c6i.16xlarge
ap-south-1,c6i.24xlarge
ap-south-1,c6i.2xlarge
ap-south-1,c6i.32xlarge
ap-south-1,c6i.4xlarge
ap-south-1,c6i.8xlarge
ap-south-1,c6i.large
ap-south-1,c6i.metal
ap-south-1,c6i.xlarge
ap-south-1,c6in.12xlarge
ap-south-1,c6in.16xlarge
ap-south-1,c6in.24xlarge
ap-south-1,c6in.2xlarge
ap-south-1,c6in.32xlarge
ap-south-1,c6in.4xlarge
ap-south-1,c6in.8xlarge
ap-south-1,c6in.large
ap-south-1,c6in.metal
ap-south-1,c6in.xlarge
ap-south-1,c7g.12xlarge
ap-south-1,c7g.16xlarge
ap-south-1,c7g.2xlarge
ap-south-1,c7g.4xlarge
ap-south-1,c7g.8xlarge
ap-south-1,c7g.large
ap-south-1,c7g.medium
ap-south-1,c7g.metal
ap-south-1,c7g.xlarge
ap-south-1,c7gd.12xlarge
ap-south-1,c7gd.16xlarge
ap-south-1,c7gd.2xlarge
ap-south-1,c7gd.4xlarge
ap-south-1,c7gd.8xlarge
ap-south-1,c7gd.large
ap-south-1,c7gd.medium
ap-south-1,c7gd.metal
ap-south-1,c7gd.xlarge
ap-south-1,c7i-flex.12xlarge
ap-south-1,c7i-flex.16xlarge
ap-south-1,c7i-flex.2xlarge
ap-south-1,c7i-flex.4xlarge
ap-south-1,c7i-flex.8xlarge
ap-south-1,c7i-flex.large
ap-south-1,c7i-flex.xlarge
ap-south-1,c7i.12xlarge
ap-south-1,c7i.16xlarge
ap-south-1,c7i.24xlarge
ap-south-1,c7i.2xlarge
ap-south-1,c7i.48xlarge
ap-south-1,c7i.4xlarge
ap-south-1,c7i.8xlarge
ap-south-1,c7i.large
ap-south-1,c7i.metal-24xl
ap-south-1,c7i.metal-48xl
ap-south-1,c7i.xlarge
ap-south-1,d2.2xlarge
ap-south-1,d2.4xlarge
ap-south-1,d2.8xlarge
ap-south-1,d2.xlarge
ap-south-1,d3.2xlarge
ap-south-1,d3.4xlarge
ap-south-1,d3.8xlarge
ap-south-1,d3.xlarge
ap-south-1,g4dn.12xlarge
ap-south-1,g4dn.16xlarge
ap-south-1,g4dn.2xlarge
ap-south-1,g4dn.4xlarge
ap-south-1,g4dn.8xlarge
ap-south-1,g4dn.metal
ap-south-1,g4dn.xlarge
ap-south-1,g5.12xlarge
ap-south-1,g5.16xlarge
ap-south-1,g5.24xlarge
ap-south-1,g5.2xlarge
ap-south-1,g5.48xlarge
ap-south-1,g5.4xlarge
ap-south-1,g5.8xlarge
ap-south-1,g5.xlarge
ap-south-1,g6.12xlarge
ap-south-1,g6.16xlarge
ap-south-1,g6.24xlarge
ap-south-1,g6.2xlarge
ap-south-1,g6.48xlarge
ap-south-1,g6.4xlarge
ap-south-1,g6.8xlarge
ap-south-1,g6.xlarge
ap-south-1,gr6.4xlarge
ap-south-1,gr6.8xlarge
ap-south-1,i2.2xlarge
ap-south-1,i2.4xlarge
ap-south-1,i2.8xlarge
ap-south-1,i2.xlarge
ap-south-1,i3.16xlarge
ap-south-1,i3.2xlarge
ap-south-1,i3.4xlarge
ap-south-1,i3.8xlarge
ap-south-1,i3.large
ap-south-1,i3.metal
ap-south-1,i3.xlarge
ap-south-1,i3en.12xlarge
ap-south-1,i3en.24xlarge
ap-south-1,i3en.2xlarge
ap-south-1,i3en.3xlarge
ap-south-1,i3en.6xlarge
ap-south-1,i3en.large
ap-south-1,i3en.metal
ap-south-1,i3en.xlarge
ap-south-1,i4i.12xlarge
ap-south-1,i4i.16xlarge
ap-south-1,i4i.24xlarge
ap-south-1,i4i.2xlarge
ap-south-1,i4i.32xlarge
ap-south-1,i4i.4xlarge
ap-south-1,i4i.8xlarge
ap-south-1,i4i.large
ap-south-1,i4i.metal
ap-south-1,i4i.xlarge
ap-south-1,inf1.24xlarge
ap-south-1,inf1.2xlarge
ap-south-1,inf1.6xlarge
ap-south-1,inf1.xlarge
ap-south-1,inf2.24xlarge
ap-south-1,inf2.48xlarge
ap-south-1,inf2.8xlarge
ap-south-1,inf2.xlarge
ap-south-1,is4gen.2xlarge
ap-south-1,is4gen.4xlarge
ap-south-1,is4gen.8xlarge
ap-south-1,is4gen.large
ap-south-1,is4gen.medium
ap-south-1,is4gen.xlarge
ap-south-1,m4.10xlarge
ap-south-1,m4.16xlarge
ap-south-1,m4.2xlarge
ap-south-1,m4.4xlarge
ap-south-1,m4.large
ap-south-1,m4.xlarge
ap-south-1,m5.12xlarge
ap-south-1,m5.16xlarge
ap-south-1,m5.24xlarge
ap-south-1,m5.2xlarge
ap-south-1,m5.4xlarge
ap-south-1,m5.8xlarge
ap-south-1,m5.large
ap-south-1,m5.metal
ap-south-1,m5.xlarge
ap-south-1,m5a.12xlarge
ap-south-1,m5a.16xlarge
ap-south-1,m5a.24xlarge
ap-south-1,m5a.2xlarge
ap-south-1,m5a.4xlarge
ap-south-1,m5a.8xlarge
ap-south-1,m5a.large
ap-south-1,m5a.xlarge
ap-south-1,m5ad.12xlarge
ap-south-1,m5ad.16xlarge
ap-south-1,m5ad.24xlarge
ap-south-1,m5ad.2xlarge
ap-south-1,m5ad.4xlarge
ap-south-1,m5ad.8xlarge
ap-south-1,m5ad.large
ap-south-1,m5ad.xlarge
ap-south-1,m5d.12xlarge
ap-south-1,m5d.16xlarge
ap-south-1,m5d.24xlarge
ap-south-1,m5d.2xlarge
ap-south-1,m5d.4xlarge
ap-south-1,m5d.8xlarge
ap-south-1,m5d.large
ap-south-1,m5d.metal
ap-south-1,m5d.xlarge
ap-south-1,m6a.12xlarge
ap-south-1,m6a.16xlarge
ap-south-1,m6a.24xlarge
ap-south-1,m6a.2xlarge
ap-south-1,m6a.32xlarge
ap-south-1,m6a.48xlarge
ap-south-1,m6a.4xlarge
ap-south-1,m6a.8xlarge
ap-south-1,m6a.large
ap-south-1,m6a.metal
ap-south-1,m6a.xlarge
ap-south-1,m6g.12xlarge
ap-south-1,m6g.16xlarge
ap-south-1,m6g.2xlarge
ap-south-1,m6g.4xlarge
ap-south-1,m6g.8xlarge
ap-south-1,m6g.large
ap-south-1,m6g.medium
ap-south-1,m6g.metal
ap-south-1,m6g.xlarge
ap-south-1,m6gd.12xlarge
ap-south-1,m6gd.16xlarge
ap-south-1,m6gd.2xlarge
ap-south-1,m6gd.4xlarge
ap-south-1,m6gd.8xlarge
ap-south-1,m6gd.large
ap-south-1,m6gd.medium
ap-south-1,m6gd.metal
ap-south-1,m6gd.xlarge
ap-south-1,m6i.12xlarge
ap-south-1,m6i.16xlarge
ap-south-1,m6i.24xlarge
ap-south-1,m6i.2xlarge
ap-south-1,m6i.32xlarge
ap-south-1,m6i.4xlarge
ap-south-1,m6i.8xlarge
ap-south-1,m6i.large
ap-south-1,m6i.metal
ap-south-1,m6i.xlarge
ap-south-1,m6id.12xlarge
ap-south-1,m6id.16xlarge
ap-south-1,m6id.24xlarge
ap-south-1,m6id.2xlarge
ap-south-1,m6id.32xlarge
ap-south-1,m6id.4xlarge
ap-south-1,m6id.8xlarge
ap-south-1,m6id.large
ap-south-1,m6id.metal
ap-south-1,m6id.xlarge
ap-south-1,m6idn.12xlarge
ap-south-1,m6idn.16xlarge
ap-south-1,m6idn.24xlarge
ap-south-1,m6idn.2xlarge
ap-south-1,m6idn.32xlarge
ap-south-1,m6idn.4xlarge
ap-south-1,m6idn.8xlarge
ap-south-1,m6idn.large
ap-south-1,m6idn.metal
ap-south-1,m6idn.xlarge
ap-south-1,m6in.12xlarge
ap-south-1,m6in.16xlarge
ap-south-1,m6in.24xlarge
ap-south-1,m6in.2xlarge
ap-south-1,m6in.32xlarge
ap-south-1,m6in.4xlarge
ap-south-1,m6in.8xlarge
ap-south-1,m6in.large
ap-south-1,m6in.metal
ap-south-1,m6in.xlarge
ap-south-1,m7g.12xlarge
ap-south-1,m7g.16xlarge
ap-south-1,m7g.2xlarge
ap-south-1,m7g.4xlarge
ap-south-1,m7g.8xlarge
ap-south-1,m7g.large
ap-south-1,m7g.medium
ap-south-1,m7g.metal
ap-south-1,m7g.xlarge
ap-south-1,m7gd.12xlarge
ap-south-1,m7gd.16xlarge
ap-south-1,m7gd.2xlarge
ap-south-1,m7gd.4xlarge
ap-south-1,m7gd.8xlarge
ap-south-1,m7gd.large
ap-south-1,m7gd.medium
ap-south-1,m7gd.metal
ap-south-1,m7gd.xlarge
ap-south-1,m7i-flex.12xlarge
ap-south-1,m7i-flex.16xlarge
ap-south-1,m7i-flex.2xlarge
ap-south-1,m7i-flex.4xlarge
ap-south-1,m7i-flex.8xlarge
ap-south-1,m7i-flex.large
ap-south-1,m7i-flex.xlarge
ap-south-1,m7i.12xlarge
ap-south-1,m7i.16xlarge
ap-south-1,m7i.24xlarge
ap-south-1,m7i.2xlarge
ap-south-1,m7i.48xlarge
ap-south-1,m7i.4xlarge
ap-south-1,m7i.8xlarge
ap-south-1,m7i.large
ap-south-1,m7i.metal-24xl
ap-south-1,m7i.metal-48xl
ap-south-1,m7i.xlarge
ap-south-1,mac1.metal
ap-south-1,p2.16xlarge
ap-south-1,p2.8xlarge
ap-south-1,p2.xlarge
ap-south-1,p4d.24xlarge
ap-south-1,p5.48xlarge
ap-south-1,r3.2xlarge
ap-south-1,r3.4xlarge
ap-south-1,r3.8xlarge
ap-south-1,r3.large
ap-south-1,r3.xlarge
ap-south-1,r4.16xlarge
ap-south-1,r4.2xlarge
ap-south-1,r4.4xlarge
ap-south-1,r4.8xlarge
ap-south-1,r4.large
ap-south-1,r4.xlarge
ap-south-1,r5.12xlarge
ap-south-1,r5.16xlarge
ap-south-1,r5.24xlarge
ap-south-1,r5.2xlarge
ap-south-1,r5.4xlarge
ap-south-1,r5.8xlarge
ap-south-1,r5.large
ap-south-1,r5.metal
ap-south-1,r5.xlarge
ap-south-1,r5a.12xlarge
ap-south-1,r5a.16xlarge
ap-south-1,r5a.24xlarge
ap-south-1,r5a.2xlarge
ap-south-1,r5a.4xlarge
ap-south-1,r5a.8xlarge
ap-south-1,r5a.large
ap-south-1,r5a.xlarge
ap-south-1,r5ad.12xlarge
ap-south-1,r5ad.16xlarge
ap-south-1,r5ad.24xlarge
ap-south-1,r5ad.2xlarge
ap-south-1,r5ad.4xlarge
ap-south-1,r5ad.8xlarge
ap-south-1,r5ad.large
ap-south-1,r5ad.xlarge
ap-south-1,r5d.12xlarge
ap-south-1,r5d.16xlarge
ap-south-1,r5d.24xlarge
ap-south-1,r5d.2xlarge
ap-south-1,r5d.4xlarge
ap-south-1,r5d.8xlarge
ap-south-1,r5d.large
ap-south-1,r5d.metal
ap-south-1,r5d.xlarge
ap-south-1,r5n.12xlarge
ap-south-1,r5n.16xlarge
ap-south-1,r5n.24xlarge
ap-south-1,r5n.2xlarge
ap-south-1,r5n.4xlarge
ap-south-1,r5n.8xlarge
ap-south-1,r5n.large
ap-south-1,r5n.metal
ap-south-1,r5n.xlarge
ap-south-1,r6a.12xlarge
ap-south-1,r6a.16xlarge
ap-south-1,r6a.24xlarge
ap-south-1,r6a.2xlarge
ap-south-1,r6a.32xlarge
ap-south-1,r6a.48xlarge
ap-south-1,r6a.4xlarge
ap-south-1,r6a.8xlarge
ap-south-1,r6a.large
ap-south-1,r6a.metal
ap-south-1,r6a.xlarge
ap-south-1,r6g.12xlarge
ap-south-1,r6g.16xlarge
ap-south-1,r6g.2xlarge
ap-south-1,r6g.4xlarge
ap-south-1,r6g.8xlarge
ap-south-1,r6g.large
ap-south-1,r6g.medium
ap-south-1,r6g.metal
ap-south-1,r6g.xlarge
ap-south-1,r6gd.12xlarge
ap-south-1,r6gd.16xlarge
ap-south-1,r6gd.2xlarge
ap-south-1,r6gd.4xlarge
ap-south-1,r6gd.8xlarge
ap-south-1,r6gd.large
ap-south-1,r6gd.medium
ap-south-1,r6gd.metal
ap-south-1,r6gd.xlarge
ap-south-1,r6i.12xlarge
ap-south-1,r6i.16xlarge
ap-south-1,r6i.24xlarge
ap-south-1,r6i.2xlarge
ap-south-1,r6i.32xlarge
ap-south-1,r6i.4xlarge
ap-south-1,r6i.8xlarge
ap-south-1,r6i.large
ap-south-1,r6i.metal
ap-south-1,r6i.xlarge
ap-south-1,r6id.12xlarge
ap-south-1,r6id.16xlarge
ap-south-1,r6id.24xlarge
ap-south-1,r6id.2xlarge
ap-south-1,r6id.32xlarge
ap-south-1,r6id.4xlarge
ap-south-1,r6id.8xlarge
ap-south-1,r6id.large
ap-south-1,r6id.metal
ap-south-1,r6id.xlarge
ap-south-1,r7g.12xlarge
ap-south-1,r7g.16xlarge
ap-south-1,r7g.2xlarge
ap-south-1,r7g.4xlarge
ap-south-1,r7g.8xlarge
ap-south-1,r7g.large
ap-south-1,r7g.medium
ap-south-1,r7g.metal
ap-south-1,r7g.xlarge
ap-south-1,r7gd.12xlarge
ap-south-1,r7gd.16xlarge
ap-south-1,r7gd.2xlarge
ap-south-1,r7gd.4xlarge
ap-south-1,r7gd.8xlarge
ap-south-1,r7gd.large
ap-south-1,r7gd.medium
ap-south-1,r7gd.metal
ap-south-1,r7gd.xlarge
ap-south-1,r7i.12xlarge
ap-south-1,r7i.16xlarge
ap-south-1,r7i.24xlarge
ap-south-1,r7i.2xlarge
ap-south-1,r7i.48xlarge
ap-south-1,r7i.4xlarge
ap-south-1,r7i.8xlarge
ap-south-1,r7i.large
ap-south-1,r7i.metal-24xl
ap-south-1,r7i.metal-48xl
ap-south-1,r7i.xlarge
ap-south-1,r8g.12xlarge
ap-south-1,r8g.16xlarge
ap-south-1,r8g.24xlarge
ap-south-1,r8g.2xlarge
ap-south-1,r8g.48xlarge
ap-south-1,r8g.4xlarge
ap-south-1,r8g.8xlarge
ap-south-1,r8g.large
ap-south-1,r8g.medium
ap-south-1,r8g.metal-24xl
ap-south-1,r8g.metal-48xl
ap-south-1,r8g.xlarge
ap-south-1,t2.2xlarge
ap-south-1,t2.large
ap-south-1,t2.medium
ap-south-1,t2.micro
ap-south-1,t2.nano
ap-south-1,t2.small
ap-south-1,t2.xlarge
ap-south-1,t3.2xlarge
ap-south-1,t3.large
ap-south-1,t3.medium
ap-south-1,t3.micro
ap-south-1,t3.nano
ap-south-1,t3.small
ap-south-1,t3.xlarge
ap-south-1,t3a.2xlarge
ap-south-1,t3a.large
ap-south-1,t3a.medium
ap-south-1,t3a.micro
ap-south-1,t3a.nano
ap-south-1,t3a.small
ap-south-1,t3a.xlarge
ap-south-1,t4g.2xlarge
ap-south-1,t4g.large
ap-south-1,t4g.medium
ap-south-1,t4g.micro
ap-south-1,t4g.nano
ap-south-1,t4g.small
ap-south-1,t4g.xlarge
ap-south-1,trn1.32xlarge
ap-south-1,u-12tb1.112xlarge
ap-south-1,u-6tb1.112xlarge
ap-south-1,u-6tb1.56xlarge
ap-south-1,u-9tb1.112xlarge
ap-south-1,x1.16xlarge
ap-south-1,x1.32xlarge
ap-south-1,x1e.16xlarge
ap-south-1,x1e.2xlarge
ap-south-1,x1e.32xlarge
ap-south-1,x1e.4xlarge
ap-south-1,x1e.8xlarge
ap-south-1,x1e.xlarge
ap-south-1,x2idn.16xlarge
ap-south-1,x2idn.24xlarge
ap-south-1,x2idn.32xlarge
ap-south-1,x2idn.metal
ap-south-1,x2iedn.16xlarge
ap-south-1,x2iedn.24xlarge
ap-south-1,x2iedn.2xlarge
ap-south-1,x2iedn.32xlarge
ap-south-1,x2iedn.4xlarge
ap-south-1,x2iedn.8xlarge
ap-south-1,x2iedn.metal
ap-south-1,x2iedn.xlarge
ap-south-1,z1d.12xlarge
ap-south-1,z1d.2xlarge
ap-south-1,z1d.3xlarge
ap-south-1,z1d.6xlarge
ap-south-1,z1d.large
ap-south-1,z1d.metal
ap-south-1,z1d.xlarge
eu-north-1,c5.12xlarge
eu-north-1,c5.18xlarge
eu-north-1,c5.24xlarge
eu-north-1,c5.2xlarge
eu-north-1,c5.4xlarge
eu-north-1,c5.9xlarge
eu-north-1,c5.large
eu-north-1,c5.metal
eu-north-1,c5.xlarge
eu-north-1,c5a.12xlarge
eu-north-1,c5a.16xlarge
eu-north-1,c5a.24xlarge
eu-north-1,c5a.2xlarge
eu-north-1,c5a.4xlarge
eu-north-1,c5a.8xlarge
eu-north-1,c5a.large
eu-north-1,c5a.xlarge
eu-north-1,c5d.12xlarge
